Algorithm,Parameters,Train_Accuracy,Test_Accuracy,Test_F1_Score
DecisionTree,{'max_depth': 10},0.9943181818181818,0.8282828282828283,0.8290294348153717
RandomForest,{'n_estimators': 100},1.0,0.8611111111111112,0.8604983902482213
SVM,"{'C': 0.1, 'kernel': 'linear'}",0.9873737373737373,0.9949494949494949,0.9949479838504727
